Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Chicharrón,458,23.7,33.9,35.1,99,11.96,15.50,6.11,0,5.33,0.229,0.168,0.004,0.008,1.7,1.7,0,0,0,0,x,1684,499,11,0.105,388,2.80,31,3.06,10.46,0,0,11,11,0.560,0.232,1.09,0,0
"Verdolaga, cruda",19,92.9,2.0,0.4,0,0.00,0.00,0.00,0,0.00,0,0,0,0,1.8,3.4,1.1,0,1.6,0,1.36,45,494,65,0.113,44,1.99,68,0.17,0.48,12,0,66,0,0.047,0.112,0,21.0,0
"Verdolaga, hervida",17,92.9,2.0,0.4,0,0.00,0.00,0.00,0,0.00,0,0,0,0,1.3,3.4,1.1,0,2.1,0,1.36,45,494,65,0.113,44,1.99,68,0.17,0.48,12,0,66,0,0.038,0.106,0,11.6,0
"Papa, cruda",79,78.0,2.7,0.1,0,0.03,0.00,0.04,0,0.03,0.010,0,0,0,16.9,19.3,1.2,0,2.4,0,0.50,24,493,36,0.116,72,0.86,21,0.29,1.90,18,0,0,0,0.130,0.106,0,21.2,0
Palta,190,72.5,1.9,19.5,0,4.10,13.04,1.82,0,1.67,0.125,0,0,0,1.8,8.5,0.7,0,6.7,0,1.58,7,485,12,0.19,52,0.55,29,0.64,1.10,87,0,7,0,0.067,0.130,0,10.0,0
"Trucha, cruda",113,71.9,20.5,3.5,59,0.72,1.13,1.24,0,0.24,0.119,0.109,0.167,0.420,0,0,0,0,0,0,1.31,31,481,67,0.109,271,0.70,31,1.08,5.38,12,0,19,19,0.123,0.105,4.45,2.4,7.90
"Leche fórmula inicio, en polvo",472,2.8,8.9,24.0,1.9,5.80,12.00,6.20,0,5.07,0.568,0.046,0,0.045,55.0,55.0,55.0,0,5.8,0,x,170,479,385,0.32,222,6.20,37,4.2,3.20,126,74,433,433,0.380,0.570,1.30,90.0,9.3
"Leche fórmula para prematuros etapa 1, en polvo",503,2.0,16.0,24.0,40,11.00,6.75,5.05,0,0.00,0,0,0,0,55.7,55.7,10.0,0,0,0,4,340,475,795,1,435,8.70,45,7,19.50,195,0,2000,2000,0.965,1.450,1.20,96.5,18
"Leche fórmula para prematuros etapa 2, en polvo",503,2.0,16.0,24.0,40,11.00,6.75,5.05,0,3.65,0.495,0.165,0,0.080,55.7,55.7,10.0,0,0,0,4.35,340,475,795,0.58,435,8.70,45,7.25,19.50,195,0,2000,2000,0.965,1.450,1.20,96.5,18
"Acelga, pencas, crudas",8,94.0,1.2,0.1,0,0.02,0.02,0.04,0,0.00,0,0,0,0,0.6,3.5,0,0,2.9,0,2.00,150,470,53,0.179,23,0.34,81,0.2,0.38,11,0,0,0,0.036,0.086,0,21.0,0
"Acelga, pencas, hervidas",8,94.0,1.2,0.1,0,0.02,0.02,0.04,0,0.00,0,0,0,0,0.6,3.5,0,0,2.9,0,2.00,150,470,53,0.179,23,0.34,81,0.2,0.34,8,0,0,0,0.031,0.073,0,12.6,0
Semilla de sésamo,565,4.7,17.7,49.7,0,6.96,18.76,21.77,0,21.38,0.376,0,0,0,11.7,23.5,0.3,0,11.8,0,4.45,11,468,975,4.082,629,14.55,351,7.75,4.52,97,0,0,0,0.791,0.247,0,0,0
"Espinaca, hervida",20,91.21,2.97,0.26,0,0.043,0.006,0.109,0,0.017,0.092,0,0,0,1.35,3.75,0.43,0,2.4,0,1.81,70,466,136,0.174,56,3.57,87,0.76,0.49,146,0,524,0,0.095,0.236,0,9.8,0
Salsa de soja,62,68.0,7.0,0.5,0,0.04,0.06,0.15,0,0.13,0.015,0,0,0,7.3,7.8,1.3,1.3,0.5,0,16.63,6820,447,17,0.041,94,0.33,29,0.23,2.83,13,0,0,0,0.042,0.109,0,0,0
Chocolate con almendras,534,1.5,9.0,34.4,19,17.70,11.96,3.02,0,2.94,0.082,0,0,0,47.2,53.4,43.9,43.9,6.2,0,1.7,74,444,224,0.422,264,1.63,90,1.34,0.74,13,0,52,52,0.060,0.435,0.67,0.2,0
Nuez,690,4.07,13.9,67.4,0,6.13,8.93,47.17,0,38.09,9.080,0,0,0,7.0,13.7,2.6,0,6.7,0,2.00,3,441,98,1.586,380,2.35,158,3.09,1.13,98,0,1,0,0.341,0.150,0,1.3,0
"Tomate, puré de tomate",37,87.9,1.7,0.2,0,0.03,0.03,0.09,0,0.08,0.004,0,0,0,7.1,9.0,4.8,0,1.9,0,1.28,67,439,18,0.287,40,1.78,23,0.36,1.47,11,0,26,0,0.025,0.080,0,10.6,0
"Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola, napolitana, con o sin verdeo, etc.)",42,90.1,1.0,1.3,0,0.30,0.30,0.60,0,0.57,0.030,0,0,0,6.6,7.6,2.4,1.2,1.0,0,x,361,439,18,0.287,40,1.78,23,0.36,1.47,11,0,26,0,0.025,0.080,0,10.6,0
"Mollejas, a la parrilla",312,52.8,21.9,25.0,294,8.61,8.64,4.66,1.25,2.72,0.170,0,0,0,0,0,0,0,0,0,1.53,116,433,10,0.043,364,1.49,10,2.2,1.84,1,0,0,0,0.084,0.225,1.51,30.2,0
"Cereal desayuno, copos de cereal
integral (arroz y maíz), fortificados",352,3.0,11.4,2.9,0,0.48,0.35,1.17,0,1.11,0.059,0.003,0,0,70.1,81.5,5.7,5.7,11.4,0,1.21,371,429,57,0.622,172,12.86,92,1.72,5.71,46,0,0,0,1.929,0.980,0,0,0
"Avena, arrollada, cruda",357,11.4,15.6,7.5,0,1.52,2.72,3.17,0,3.02,0.012,0,0,0,56.9,62.5,1.0,0,10.4,0,2.1,2,426,36,0.626,360,4.17,177,4.4,1.40,56,0,0,0,0.594,0.158,0,0,0
Chorizo (horno/parrilla),405,38.0,18.7,34.4,86,11.77,14.52,5.88,0.17,5.07,0,0,0,0,5.2,5.2,0,0,0,0,4,1079,422,26,0,204,1.93,27,2,6.74,0,0,0,0,0.184,0.318,1.92,0,2.05
"Salchicha parrillera, a la parrilla",405,38.0,18.7,34.4,86,11.77,14.52,5.88,0.17,5.07,0,0,0,0,5.2,5.2,0,0,0,0,4,1079,422,26,0,204,1.93,27,2,6.74,0,0,0,0,0.184,0.318,1.92,0,2.05
