Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Queso untable tipo Tholem,284,51.5,8.0,24.0,75,13.10,9.50,0.50,0.72,0.35,0.150,0,0,0,8.9,9.2,6.7,0,0.3,0,5.8,1130,240,359,0.02,806,0.19,10,1.64,0.10,30,0,149,134,0.040,0.240,0.40,0.4,0
Queso untable tipo Tholem light,128,78.6,11.0,8.4,26,5.40,2.00,0.20,0.25,0.14,0.060,0,0,0,2.0,2.0,0,0,0,0,x,800,240,359,0.02,806,0.19,10,1.64,0.10,30,0,149,134,0.040,0.240,0.40,0.4,0
"Pavo, al horno",151,66.7,29.1,3.8,101,1.13,1.26,1.03,0.05,0.86,0.043,0.063,0.008,0.004,0,0,0,0,0,0,1.17,101,239,13,0.091,222,1.03,29,2.51,9.50,9,0,4,4,0.047,0.280,0.94,0,0.40
"Berenjena, cruda",16,92.7,1.1,0.2,0,0.03,0.02,0.08,0,0.06,0.013,0,0,0,2.5,5.5,3.5,0,3.0,0,0.50,3,238,10,0.081,12,0.39,14,0.16,1.71,19,0,1,0,0.106,0.455,0,1.9,0
"Berenjena, hervida",30,89.7,0.8,0.2,0,0.04,0.02,0.09,0,0.08,0.016,0,0,0,6.2,8.7,3.2,0,2.5,0,0.50,3,238,10,0.081,12,0.39,14,0.16,1.71,19,0,1,0,0.106,0.455,0,1.9,0
"Pollo sin piel, crudo",106,74.9,20.3,2.7,65,0.67,0.83,0.67,0,0.41,0.060,0.080,0.010,0.030,0,0,0,0,0,0,1.07,75,238,10,0.05,198,1.03,23,1.19,7.88,7,0,13,13,0.069,0.134,0.36,0,0
Tofu,149,69.8,17.3,8.7,0,1.26,1.93,4.92,0,4.34,0.582,0,0,0,0.5,2.8,0,0,2.3,0,1.4,14,237,683,0.378,190,2.66,58,1.57,0.38,29,0,0,0,0.158,0.102,0,0.2,0
Granada,63,81.0,0.6,0.2,0,0.12,0.09,0.08,0,0.08,0,0,0,0,14.7,17.7,13.7,0,4.0,0,0.50,3,236,11,0.158,36,0.78,12,0.35,0.29,38,0,3,0,0.067,0.030,0,10.2,0
"Zanahoria, hervida",26,90.2,0.8,0.2,0,0.03,0.01,0.09,0,0.09,0.002,0,0,0,5.2,8.2,3.5,0,3.0,0,0.67,58,235,30,0.017,30,0.34,10,0.2,0.645,14,0,852,0,0.066,0.044,0,3.6,0
"Pavo, crudo",108,75.4,22.6,1.9,67,0.46,0.48,0.41,0.01,0.11,0.005,0.031,0,0.002,0.1,0.1,0.1,0,0,0,1.04,118,235,11,0.079,190,0.86,27,1.84,8.10,7,0,9,9,0.050,0.192,1.24,0,0.20
"Avena, almohaditas",366,9.8,11.0,5.5,0,1.00,1.60,2.10,0,1.89,0.210,0,0,0,68.0,73.7,16.6,16.6,5.7,0,x,168,234,19,0.308,196,3.33,80,2.04,1.64,185,88,0,0,0.566,0.143,0,0,0
"Rabanito, crudo",23,91.8,1.3,0.1,0,0.03,0.02,0.05,0,0.02,0.031,0,0,0,4.2,5.8,1.9,0,1.6,0,1.00,39,233,25,0.05,20,0.34,10,0.28,0.25,25,0,0,0,0.033,0.039,0,17.7,0
Salsa barbacoa,168,54.7,0.8,0.6,0,0.05,0.08,0.10,0,0.08,0.021,0,0,0,39.9,40.8,33.2,11.8,0.9,0,3.07,1027,232,33,0.072,20,0.64,13,0.17,0.60,2,0,11,0,0.023,0.056,0,0.6,0
Dulce de batata,255,31.7,0.9,0.1,0,0.00,0.00,0.00,0,0.00,0,0,0,0,62.5,65.0,52.0,52.0,2.5,0,2.3,19,231,24,0.11,35,0.65,25,0.3,0.54,0,0,0,0,0.056,0.047,0,0,0
Dulce de batata light,164,52.6,0.9,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,40.0,44.3,22.9,22.9,4.3,0,2.3,19,231,24,0.11,35,0.65,25,0.3,0.54,0,0,0,0,0.056,0.047,0,0,0
Oblea bañada tipo Kit Kat,514,1.6,6.5,26.0,11,17.95,5.84,0.90,0.10,0.82,0.075,0,0,0,63.6,64.6,48.7,48.7,1.0,0,1.28,54,231,125,0.22,135,1.00,37,0.09,0.50,18,6,24,24,0.117,0.210,0.56,0,0
Obleas bañadas tipo Nugaton,514,1.6,6.5,26.0,11,17.95,5.84,0.90,0.10,0.82,0.075,0,0,0,63.6,64.6,48.7,48.7,1.0,0,1.28,54,231,125,0.22,135,1.00,37,0.09,0.50,18,6,24,24,0.117,0.210,0.56,0,0
"Batata, hervida",83,76.1,1.2,0.1,0,0.03,0.00,0.06,0,0.06,0,0,0,0,19.2,21.7,5.7,0,2.5,0,1.00,6,230,32,0.094,66,0.42,18,0.2,0.54,6,0,330,0,0.056,0.047,0,10.0,0
"Hígado de pollo, crudo",114,76.5,16.9,4.8,345,1.56,1.25,1.31,0.07,0.48,0.006,0.326,0,0,0.7,0.7,0,0,0,0,1.06,71,230,8,0.492,297,8.99,19,2.67,9.73,588,0,3296,3290,0.305,1.778,16.58,17.9,0
Pollo sin piel (horno/parrilla),160,67.4,25.0,6.6,75,1.81,2.50,1.51,0,1.12,0.180,0.100,0.010,0.030,0,0,0,0,0,0,0.95,75,229,12,0.057,192,1.21,21,1.52,7.88,5,0,12,12,0.062,0.147,0.29,0,0
Melón,37,89.8,0.5,0.1,0,0.04,0.00,0.06,0,0.03,0.033,0,0,0,8.3,9.1,8.1,0,0.8,0,0.41,18,228,6,0.024,11,0.17,10,0.09,0.42,19,0,3,0,0.038,0.012,0,18.0,0
"Pollo, menudos, crudos",122,74.7,18.1,5.0,236,1.54,1.28,1.26,0,0.87,0.030,0.310,0.010,0.020,1.1,1.1,0,0,0,0,0.95,77,227,10,0.218,184,5.40,17,3.39,6.21,276,0,2880,2880,0.080,0.818,9.40,13.1,0
"McDonald's, Cuarto de Libra",273,49.3,14.8,15.3,39,7.41,6.00,0.60,0.48,0.54,0.060,0,0,0,19.0,20.6,5.1,2.5,1.6,0,x,524,227,84,0.107,124,2.41,22,2.69,4.45,56,0,0,0,0.183,0.344,1.28,0.9,0
"McDonald's, Triple Mac",235,53.6,14.7,11.6,39,5.56,4.20,0.28,0.56,0.25,0.028,0,0,0,18.0,20.2,3.5,1.5,2.2,0,x,694,227,84,0.107,124,2.41,22,2.69,4.45,56,0,0,0,0.183,0.344,1.28,0.9,0
Pan de salvado con semillas,258,33.0,9.9,4.8,0,0.80,3.00,1.20,0,1.08,0.120,0,0,0,43.8,50.0,3.8,3.8,6.2,0,x,360,226,150,0.47,180,2.30,80,1.5,4.44,162,76,0,0,0.394,0.167,0,0,0
Pochoclo salado,478,2.8,9.0,28.1,0,4.89,8.17,13.42,0,x,0.730,0,0,0,47.2,57.2,0,0,10.0,0,2.9,884,225,10,0.221,250,2.78,108,2.64,1.55,17,0,1,0,0.134,0.136,0,0.3,0
"Harina de centeno, cruda",333,11.0,8.9,0.9,0,0.15,0.16,0.58,0,0.50,0.083,0,0,0,72.2,78.5,0.9,0,6.3,0,0.70,2,224,13,0.213,130,0.91,32,1.33,1.30,23,0,0,0,0.143,0.258,0,0,0
Helado de crema (heladería),213,58.4,3.7,11.0,39,6.80,3.09,0.43,0.23,0.26,0.163,0,0,0,25.0,25.9,23.3,19.5,1.0,0,0.95,78,224,119,0.079,106,0.51,22,0.64,0.17,11,0,118,116,0.042,0.217,0.34,0.7,0.20
"Fideos secos, crudos",352,9.9,13.0,1.5,0,0.28,0.17,0.56,0,0.54,0.024,0,0,0,71.5,74.7,2.7,0,3.2,0,0.88,6,223,21,0.289,189,1.30,53,1.41,1.70,18,0,0,0,0.090,0.060,0,0,0
"Fideos secos, fortificados, crudos",352,9.9,13.0,1.5,0,0.28,0.17,0.56,0,0.54,0.024,0,0,0,71.5,74.7,0,0,3.2,0,0.88,6,223,21,0.289,189,3.50,53,2.0,3.70,150,77,125,125,0.500,0.390,0,0,0
"Tapas para lasagna, pasta seca",352,9.9,13.0,1.5,0,0.28,0.17,0.56,0,0.54,0.024,0,0,0,71.5,74.7,2.7,0,3.2,0,0.88,6,223,21,0.289,189,1.30,53,1.41,1.70,18,0,0,0,0.090,0.060,0,0,0
Nachos,499,1.7,7.4,27.4,0,3.88,9.09,12.26,0.19,11.80,0.262,0.006,0,0,55.7,60.8,2.6,2.6,5.1,0,2.75,691,223,137,0.102,252,1.16,75,1.38,1.29,13,0,6,0,0.153,0.136,0,0.4,0
Cereza,65,83.0,1.1,0.5,0,0.04,0.05,0.05,0,0.03,0.026,0,0,0,13.9,14.8,12.8,0,2.1,0,0.60,3,222,16,0.06,17,0.38,11,0.07,0.15,4,0,3,0,0.002,0.035,0,5.6,0
Galleta marinera integral,371,9.9,7.1,10.7,0,1.07,8.57,1.07,0,1.02,0.051,0,0,0,61.6,68.3,0,0,6.7,0,4.04,1214,221,0,0.266,196,5.14,70,1.46,4.43,119,52,0,0,0.465,0.225,0,0,0
Alfajor de chocolate,411,13.2,6.3,14.1,9.5,7.80,6.40,0.90,0.60,0.75,0.126,0,0,0,64.6,66.4,35.0,35.0,1.3,0,x,146,221,92,0.3,134,2.27,48,0.9,1.74,81,40,19,18,0.178,0.275,0.10,0.7,0.06
Alfajor light,300,36.6,6.7,10.0,10.0,4.00,4.00,1.00,0,0.95,0.050,0,0,0,45.7,46.7,13.0,13.0,1.0,0,x,122,221,92,0.3,134,2.27,48,0.9,1.74,81,40,19,18,0.178,0.275,0.10,0.7,0
"Brotes de soja, rehogado",54,84.3,4.3,0.2,0,0.04,0.06,0.07,0,0.04,0.018,0,0,0,8.7,10.6,4.1,0,1.9,0,0.6,9,219,13,0.255,79,1.90,33,0.9,1.20,70,0,2,0,0.140,0.180,0,16.0,0
"Cereal desayuno, aritos sabor miel",369,3.6,6.6,3.1,0,0.67,0.99,1.24,0.01,1.19,0.050,0,0,0,78.7,83.0,34.7,34.7,4.3,0,x,280,219,265,0.22,240,9.40,54,1.3,14.00,170,100,0,0,1.000,1.200,2.10,67.0,4.50
"Hamburguesa de carne vacuna, industrializada, rebozada",240,52.9,12.3,12.3,49,8.50,3.00,0.50,0.46,0.48,0,0,0,0,20.0,22.5,0,0,2.5,0,x,702,219,29,0.05,119,2.40,12,1.8,3.60,41,18,8,8,0.140,0.150,1.50,0,0
"Tomate, hervido",18,94.3,1.0,0.11,0,0.015,0.016,0.044,0,0.08,0.003,0,0,0,3.3,4.0,2.5,0,0.7,0,0.6,11,218,11,0.075,28,0.68,9,0.14,0.532,13,0,24,0,0.036,0.022,0,22.8,0
Brownie (panadería),519,6.3,6.2,30.8,112,16.43,13.50,0.50,0.63,0.30,0.150,0,0,0,54.3,56.3,46.1,46.1,2.0,0,x,187,217,44,0.49,135,1.75,60,1.1,0.40,14,0,244,233,0.070,0.120,0.60,0,0.80
Tutuca,341,13.7,6.7,0.7,0,0.11,0.20,0.35,0,0.35,0.011,0,0,0,76.9,78.9,23.9,23.9,2.0,0,x,9,215,5,0.24,158,2.03,95,1.7,2.72,14,0,0,0,0.289,0.151,0,0,0
"Budín industrializado con nueces, tipo navideño",417,18.8,6.1,21.2,56,3.37,7.26,9.50,0.80,7.97,1.486,0.028,0,0.009,50.6,52.3,30.8,30.8,1.7,0,x,429,213,83,0.275,206,1.66,30,0.73,1.34,71,31,24,24,0.168,0.181,0.13,0.4,0.30
Rabas (restaurant),259,50.9,16.1,14.5,211,2.06,3.72,7.80,0.00,7.32,0.071,0,0.097,0.227,15.9,17.2,0.1,0,0.8,0,1.2,49,212,32,1.29,203,1.76,28,1.3,1.80,65,31,27,27,0.155,0.376,1.07,3.1,0.19
"Ají rojo  / morrón rojo, crudo",22,92.2,1.0,0.3,0,0.06,0.01,0.16,0,0.10,0.056,0,0,0,3.9,6.0,4.2,0,2.1,0,0.47,4,211,7,0.017,26,0.43,12,0.25,0.98,46,0,157,0,0.054,0.085,0,127.7,0
"Ají rojo  / morrón rojo, rehogado",22,92.2,1.0,0.3,0,0.06,0.01,0.16,0,0.10,0.056,0,0,0,3.9,6.0,4.2,0,2.1,0,0.47,4,211,7,0.017,26,0.43,12,0.25,0.93,37,0,141,0,0.049,0.081,0,108.5,0
Pollo con piel (horno/parrilla),216,62.1,24.0,13.4,76,3.74,5.40,2.92,0,2.82,0.330,0.110,0.010,0.030,0,0,0,0,0,0,0.86,73,211,12,0.058,179,1.26,20,1.45,7.42,5,0,13,13,0.057,0.143,0.27,0,0
Pastrón,141,69.5,21.8,5.8,68,2.68,2.12,0.15,0.29,0.12,0.011,0.018,0,0,0.4,0.4,0.1,0,0,0,3.4,1078,210,10,0.091,175,2.22,17,4.98,4.26,6,0,2,0,0.052,0.161,1.87,0.3,0.16
Torta mil hojas,407,11.5,8.2,12.4,22,6.73,4.38,0.82,0.59,0.64,0.072,0,0,0,65.6,66.7,31.2,27.5,1.1,0,1.1,87,209,164,0.1,154,0.70,23,0.7,0.53,14,0,46,46,0.039,0.241,0.19,1.6,0.15
"Atún, enlatado en aceite",190,59.8,29.1,8.2,18,1.53,2.95,2.89,0,0.02,0.002,0,0.027,0.101,0,0,0,0,0,0,2.76,416,207,13,0.071,311,1.39,31,0.9,12.40,5,0,23,23,0.038,0.120,2.20,0,1.88
Nuggets o patitas de pollo,262,52.4,12.0,17.3,32,3.60,5.52,6.81,0.07,6.19,0.447,0.043,0.004,0.003,14.5,16.1,0.7,0,1.6,0,2.23,540,206,47,0.1,165,0.95,25,0.78,3.28,35,0,16,11,0.087,0.147,0.23,0.4,0.40
"Lechuga, cruda",12,95.22,1.2,0.2,0,0.03,0.01,0.11,0,0.03,0.070,0,0,0,1.4,2.8,1.2,0,1.4,0,0.5325,13,205,31,0.0295,28,0.87,12,0.19,0.29,69,0,249,0,0.060,0.059,0,4.9,0
Ñoquis preparados a partir de polvo premezcla,139,64.6,3.7,1.1,0,0.50,0.40,0.10,0,0.09,0.005,0,0,0,28.5,30.6,0,0,2.1,0,x,401,205,7,0.1,56,1.22,15,0.3,1.61,76,39,0,0,0.318,0.067,0,12.2,0
"Zapallito, crudo",15,95.0,0.8,0.3,0,0.08,0.01,0.09,0,0.03,0.061,0,0,0,2.1,3.1,2.5,0,1.0,0,0.80,2,203,24,0.053,33,1.51,18,0.32,0.45,24,0,10,0,0.045,0.094,0,17.9,0
"Zapallito, hervido",15,95.2,1.1,0.4,0,0.07,0.03,0.15,0,0.05,0.100,0,0,0,1.7,2.7,1.7,0,1.0,0,0.80,2,203,24,0.053,33,1.51,18,0.32,0.43,17,0,9,0,0.036,0.089,0,15.2,0
Membrillo,56,85.3,0.3,0.1,0,0.01,0.04,0.05,0,0.05,0,0,0,0,13.4,13.9,6.3,0,1.9,0,0.40,3,203,14,0.13,19,0.32,8,0.04,0.20,3,0,2,0,0.032,0.030,0,13.0,0
"Ñoquis preparados a partir de polvo premezcla, SIN TACC",151,63.7,2.8,1.5,23,0.80,0.40,0.30,0,0.27,0.030,0,0,0,31.6,32.0,0,0,0.4,0,x,126,203,31,0.0,59,0.48,13,0.3,0.94,8,0,15,15,0.143,0.089,0.17,12.0,0.08
Grisines,380,4.2,10.9,5.0,1,1.00,3.25,0.75,0,0.71,0.030,0,0,0,72.9,76.6,3.3,1.6,3.7,0,x,552,202,31,0.21,120,3.65,30,0.9,3.20,216,117,1,1,0.702,0.487,0,0,0
Grisines sin sal,380,4.2,10.9,5.0,1,1.00,3.25,0.75,0,0.71,0.030,0,0,0,72.9,76.6,3.3,1.6,3.7,0,x,12,202,31,0.21,120,3.65,30,0.9,3.20,216,117,1,1,0.702,0.487,0,0,0
Panceta,389,46.7,13.7,37.1,66,12.62,15.92,5.76,0.15,5.00,0.217,0.111,0.004,0.005,0,0,0.4,0,0,0,2.59,1140,201,6,0.046,166,0.38,13,1.14,4.02,0,0,11,11,0.276,0.081,0.50,0,0.4
Mamón,38,88.5,0.5,0.1,0,0.08,0.07,0.06,0,0.01,0.047,0,0,0,8.8,10.8,8.8,0,1.7,0,0.39,5,200,23,0.08,13,0.50,21,0.2,0.30,37,0,68,0,0.030,0.040,0,60.0,0
Papaya,38,88.5,0.5,0.1,0,0.08,0.07,0.06,0,0.01,0.047,0,0,0,8.8,10.8,8.8,0,1.7,0,0.39,5,200,23,0.08,13,0.50,21,0.2,0.30,37,0,68,0,0.030,0.040,0,60.0,0
Empanaditas chinas (restaurant),270,46.5,9.4,14.3,13,2.53,5.38,5.43,0,4.81,0.579,0.011,0.005,0.001,25.8,27.8,5.0,0,2.0,0,x,384,200,32,0.087,86,1.48,19,0.85,2.12,97,32,368,0,0.226,0.104,0.14,27.6,0.10
"Jugo de naranja, exprimido",45,88.3,0.7,0.2,0,0.02,0.04,0.04,0,0.03,0.011,0,0,0,10.2,10.4,8.4,0,0.2,0,0.4,1,200,11,0.044,17,0.20,11,0.05,0.40,30,0,10,0,0.090,0.030,0,50.0,0
"McDonald's, Cajita Feliz, Hambur- guesa con queso Grill",269,45.7,12.6,11.7,35,5.32,3.63,0.36,0.36,0.32,0.036,0,0,0,28.2,30.0,6.2,3.1,1.8,0,x,595,200,167,0.097,140,2.35,20,1.91,4.03,59,0,0,0,0.223,0.260,0.86,0.6,0
"McDonald's, Hamburguesa con queso",269,45.7,12.6,11.7,35,5.32,3.63,0.36,0.36,0.32,0.036,0,0,0,28.2,30.0,6.2,3.1,1.8,0,x,595,200,167,0.097,140,2.35,20,1.91,4.03,59,0,0,0,0.223,0.260,0.86,0.6,0
"Puerro, crudo",38,88.2,2.5,0.4,0,0.04,0.00,0.17,0,0.07,0.099,0,0,0,6.1,7.9,3.9,0,1.8,0,1.00,81,199,58,0.12,6,0.65,28,0.12,0.50,64,0,83,0,0.111,0.030,0,10.2,0
"Trigo, grano entero, hervido",165,51.0,7.0,1.1,0,0.26,0.19,0.55,0,0.52,0.027,0,0,0,31.7,39.2,0,0,7.5,0,1.7,5,199,8,0.311,187,1.47,81,2.34,3.79,24,0,0,0,0.235,0.068,0,0,0
"McDonald's, Mc Flurry Oreo",169,63.9,4.0,5.7,15,2.58,1.72,0.36,0.57,0.34,0.020,0.005,0,0,25.5,25.6,21.2,21.2,0.1,0,0.92,75,198,129,0.03,111,0.61,14,0.5,0.26,5,0,92,92,0.048,0.229,0.58,0,0
Palitos aireados de harina de maíz o de colores,552,1.5,5.8,35.8,4.0,5.51,10.44,18.65,0,18.35,0.300,0,0,0,51.9,54.1,2.8,2.8,2.2,0,2.89,896,197,58,0.063,108,1.10,20,0.6,5.74,180,86,0,0,0.155,0.200,0.48,0,0
"Espárrago, crudo",18,93.0,2.2,0.2,0,0.04,0.00,0.05,0,0.04,0.010,0,0,0,1.8,3.9,1.9,0,2.1,0,0.70,7,196,25,0.189,39,1.00,14,0.54,0.40,52,0,38,0,0.186,0.162,0,12.0,0
"Espárrago, hervido",20,92.6,2.4,0.2,0,0.05,0.00,0.11,0,0.08,0.020,0,0,0,2.1,4.1,1.3,0,2.0,0,0.70,7,196,25,0.189,39,1.00,14,0.54,0.38,36,0,34,0,0.167,0.154,0,10.2,0
Pan rallado,371,6.5,13.4,5.3,0,1.20,1.02,2.06,0,1.87,0.186,0,0,0,67.5,72.0,6.2,3.0,4.5,0,2.87,732,196,183,0.255,165,4.83,43,1.45,1.90,164,82,0,0,0.464,0.131,0,0,0
"Pan rallado, fortificado",371,6.5,13.4,5.3,0,1.20,1.02,2.06,0,1.87,0.186,0,0,0,67.5,72.0,6.2,3.0,4.5,0,2.87,732,196,183,0.255,165,7.00,43,3.6,1.90,164,82,0,0,0.464,0.131,0,0,0
Hamburguesa de pollo (pollería / granja),208,66.0,17.1,15.5,86,4.41,6.39,3.33,0,2.82,0.330,0.100,0.010,0.030,0.1,0.1,0,0,0,0,0.86,69,196,10,0.06,165,1.37,19,1.28,6.43,26,0,13,13,0.059,0.171,0.99,2.4,0
"Hamburguesa de pollo, industria- lizada",208,66.0,17.1,15.5,86,4.41,6.39,3.33,0,2.82,0.330,0.100,0.010,0.030,0.1,0.1,0,0,0,0,0.86,703,196,10,0.06,165,1.37,19,1.28,6.43,26,0,13,13,0.059,0.171,0.99,2.4,0
"Pollo con piel, crudo",208,66.0,17.1,15.5,86,4.41,6.39,3.33,0,2.82,0.330,0.100,0.010,0.030,0.1,0.1,0,0,0,0,0.86,69,196,10,0.06,165,1.37,19,1.28,6.43,26,0,13,13,0.059,0.171,0.99,2.4,0
"Caballa, enlatada",149,69.2,23.2,6.3,79,1.86,2.23,1.65,0,0.10,0.043,0.069,0.434,0.796,0,0,0,0,0,0,1.73,379,194,241,0.147,301,2.04,37,1.02,6.18,5,0,130,130,0.040,0.212,6.94,0.9,7.3
Queso fundido,303,52.8,11.0,27.5,82,17.40,8.30,0.40,1.20,0.28,0.120,0,0,0,2.9,2.9,0,0,0,0,5.8,1102,193,323,0.02,577,0.27,16,1.3,0.09,4,0,278,270,0.023,0.200,1.03,0,0
"McDonald's, Cono",179,60.3,5.0,4.0,15,2.70,1.21,0.30,0.10,0.00,0,0,0,0,30.7,30.7,19.5,14.0,0,0,x,89,193,129,0.023,111,0.35,13,0.5,0.50,9,0,0,0,0.043,0.246,0.58,0,0
"McDonald's, Cajita Feliz, Hambur- guesa Grill",257,43.2,12.4,9.3,27,3.71,3.77,1.42,0.31,1.14,0.134,0.017,0,0,30.9,33.0,6.0,3.0,2.1,0,2.18,464,192,127,0.096,107,2.87,21,1.95,4.54,64,0,0,0,0.247,0.239,0.83,0.6,0
"McDonald's, Hamburguesa",257,43.2,12.4,9.3,27,3.71,3.77,1.42,0.31,1.14,0.134,0.017,0,0,30.9,33.0,6.0,3.0,2.1,0,2.18,464,192,127,0.096,107,2.87,21,1.95,4.54,64,0,0,0,0.247,0.239,0.83,0.6,0
"Tomate, enlatado",12,94.8,0.8,0.3,0,0.03,0.04,0.10,0,0.10,0.004,0,0,0,1.6,3.5,2.6,0,1.9,0,0.74,10,191,33,0.052,17,0.57,10,0.12,0.71,8,0,22,0,0.036,0.055,0,12.6,0
Uva,73,80.5,0.7,0.2,0,0.05,0.01,0.05,0,0.04,0.007,0,0,0,17.2,18.1,15.5,0,0.9,0,0.48,2,191,10,0.127,20,0.36,7,0.07,0.19,2,0,3,0,0.069,0.070,0,3.2,0
Ciruela,51,85.7,0.7,0.2,0,0.02,0.13,0.04,0,0.04,0,0,0,0,11.5,12.9,9.9,0,1.4,0,0.50,2,190,24,0.057,16,0.41,7,0.1,0.60,5,0,17,0,0.026,0.059,0,4.2,0
"Leche de oveja, entera, fluida",99,82.6,5.5,6.5,27,4.60,1.72,0.31,0.38,0.18,0.127,0,0,0,4.5,4.5,4.5,0,0,0,0.90,30,187,207,0.046,123,0.10,18,0.54,0.42,7,0,44,44,0.065,0.355,0.71,4.2,0.2
"McDonald's, Mcnífica",199,62.0,10.6,11.0,26,4.78,2.51,0.26,0.28,0.23,0,0,0,0,14.5,16.5,5.1,2.5,2.0,0,x,365,187,120,0.1,106,1.84,16,1.4,2.83,5,0,5,1,0.168,0.191,0.60,3.3,0
Kinoto,47,81.3,0.9,0.1,0,0.10,0.15,0.17,0,0.12,0.047,0,0,0,10.6,17.1,9.4,0,6.5,0,0.6,10,186,62,0.095,19,0.86,20,0.17,0.43,17,0,15,0,0.083,0.096,0,57.6,0
"Sémola fortificada, cruda",336,12.7,12.7,1.1,0,0.15,0.12,0.43,0,0.39,0.043,0,0,0,68.9,72.8,0,0,3.9,0,0.77,1,186,300,0.189,136,4.20,47,2,4.80,119,70,0,0,0.360,0.380,0.78,0,0
"Sémola, cruda",336,12.7,12.7,1.1,0,0.15,0.12,0.43,0,0.39,0.037,0,0,0,68.9,72.8,0,0,3.9,0,0.77,1,186,17,0.189,136,1.23,47,1.05,3.31,72,0,0,0,0.280,0.080,0,0,0
"McDonald's, Sundae dulce de leche",171,62.3,4.1,4.1,16,3.00,1.21,0.23,0.14,0.00,0,0,0,0,29.5,29.5,23.5,18.0,0,0,x,62,186,127,0.015,112,0.08,12,0.45,0.11,2,0,92,92,0.037,0.223,0.51,0,0
Cuerito de cerdo,514,36.7,9.3,53.0,72,19.33,24.70,5.65,0,5.03,0.480,0.140,0,0,0,0,0,0,0,0,0.49,32,185,5,0.052,108,0.52,4,1.02,4.65,1,0,3,3,0.396,0.242,0.84,0.3,0
"Lengua, hervida",278,57.9,19.3,22.3,132,8.13,10.10,0.75,0.84,0.62,0.071,0.058,0,0,0,0,0,0,0,0,0.69,65,184,5,0.148,145,2.61,15,4.09,3.49,7,0,0,0,0.022,0.294,3.13,1.3,0.4
"Jugo de fruta, exprimido sin azú- car agregada, envasado",47,87.7,0.6,0.2,0,0.02,0.03,0.03,0,0.00,0,0,0,0,10.7,11.0,8.8,0,0.3,0,0.43,4,184,10,0.022,17,0.10,10,0.04,0.20,24,0,9,0,0.039,0.021,0,30.1,0
"Jugo de fruta, pasteurizado no reconstituido",47,87.7,0.7,0.2,0,0.02,0.03,0.03,0,0.03,0.007,0,0,0,10.7,11.0,8.8,0,0.3,0,0.43,4,184,10,0.022,17,0.10,10,0.04,0.20,24,0,9,0,0.039,0.021,0,30.1,0
"McDonald's, Clubhouse/ Guaca- mole/ Cryspi Onion BBQ con pollo crispy",165,64.3,13.9,5.7,22,1.64,3.41,2.88,0.10,2.59,0.288,0,0,0,14.5,16.1,4.2,2.1,1.6,0,x,381,184,96,0.073,150,1.78,20,0.75,4.37,72,0,0,0,0.234,0.216,0.17,0.9,0
"McDonald's, Clubhouse/ Guacamo- le/ Cryspi Onion BBQ con pollo grill",159,66.2,14.0,5.8,22,1.64,3.41,2.88,0.10,2.59,0.288,0,0,0,12.6,14.0,4.2,2.1,1.4,0,x,280,184,96,0.073,150,1.78,20,0.75,4.37,72,0,0,0,0.234,0.216,0.17,0.9,0
"McDonald's, McPollo Grill",176,63.7,6.8,7.9,22,1.64,3.41,2.88,0.10,2.59,0.288,0,0,0,19.5,21.6,4.2,2.1,2.1,0,x,474,184,96,0.073,150,1.78,20,0.75,4.37,72,0,0,0,0.234,0.216,0.17,0.9,0
"McDonald's, Pollo Jr.",176,63.7,6.8,7.9,22,1.64,3.41,2.88,0.10,2.59,0.288,0,0,0,19.5,21.6,4.2,2.1,2.1,0,x,474,184,96,0.073,150,1.78,20,0.75,4.37,72,0,0,0,0.234,0.216,0.17,0.9,0
Trigo inflado azucarado,379,2.9,5.7,2.2,0,0.50,0.40,0.50,0,0.46,0.040,0,0,0,84.1,88.5,56.2,56.2,4.4,0,x,142,183,14,0.1,213,1.50,59,1.7,6.74,14,0,0,0,0.419,0.121,0,0,0
Lentejas de chocolate,485,1.6,5.2,20.0,7.8,12.00,6.50,0.60,0.10,0.57,0.030,0,0,0,71.0,73.2,69.0,69.0,2.2,0,x,79,183,16,0.35,66,1.57,58,0.81,0.21,7,0,0,0,0.028,0.045,0,0,0
"Achicoria, cruda",12,94.2,1.6,0.3,0,0.07,0.01,0.13,0,0.11,0.019,0,0,0,0.7,4.7,0.7,0,4.0,0,1.3,45,182,18,0.295,21,0.69,30,0.42,0.50,110,0,286,0,0.060,0.100,0,49.3,0
